frame,psnr,psnr_ideal,original_bits,compressed_bits,compression_ratio,bitrate_kbps,num_packets,received_packets
78,13.66184,30.686317,811008,36633,22.138727376955206,4395.96,18,18
79,14.814474,30.797054,811008,36777,22.05204339668815,4413.24,18,18
80,14.3306265,30.795631,811008,36721,22.085673048119606,4406.52,18,18
81,12.578855,30.85109,811008,36741,22.07365068996489,4408.92,18,17
82,13.589357,30.768341,811008,36640,22.134497816593885,4396.8,18,18
83,14.322575,30.96035,811008,36740,22.07425149700599,4408.8,18,17
84,13.453933,30.967463,811008,36654,22.12604354231462,4398.48,18,18
85,16.057201,31.023266,811008,36804,22.03586566677535,4416.48,18,18
86,18.160559,31.007488,811008,36656,22.124836316019206,4398.72,18,18
87,12.962172,31.141155,811008,36911,21.971986670640188,4429.32,19,19
88,13.212289,31.065815,811008,36772,22.055041879691068,4412.64,18,18
89,20.419842,31.023777,811008,36847,22.010150080060793,4421.64,18,18
90,13.422717,30.910706,811008,36836,22.016722771202083,4420.32,18,17
91,14.224232,30.96776,811008,36832,22.019113814074718,4419.84,18,18
92,13.93559,30.966146,811008,36791,22.043651980103828,4414.92,18,18
93,16.44847,30.90968,811008,36872,21.99522673031026,4424.64,19,19
94,13.766681,30.873264,811008,36797,22.040057613392396,4415.64,18,18
95,13.615207,30.974934,811008,36969,21.937515215450784,4436.28,19,19
96,13.9694605,30.894127,811008,36866,21.99880648836326,4423.92,19,19
97,16.75392,30.883774,811008,37054,21.88719166621687,4446.48,19,19
98,12.376623,30.712349,811008,36990,21.925060827250608,4438.8,19,18
99,13.636831,30.662712,811008,36996,21.921505027570547,4439.52,19,19
